day,slot,format,hook,prompt,cta,primary_metric
7,afternoon,TikTok / Reels product demo,Two minutes. One real answer. No full journal.,What family tradition should we keep forever?,Try tonight's question,App starts and first memories
7,evening,X / Instagram text,Tonight's question,What family tradition should we keep forever?,"Ask it, then stop talking and listen.",Replies and next-day repeat saves
8,morning,Instagram carousel / TikTok slideshow,Stop asking how was school. Ask this instead.,"If our home had a secret room, what would be inside?",Save this for tonight,Saves and qualified profile visits
8,afternoon,TikTok / Reels product demo,Two minutes. One real answer. No full journal.,"If our home had a secret room, what would be inside?",Try tonight's question,App starts and first memories
8,evening,X / Instagram text,Tonight's question,"If our home had a secret room, what would be inside?","Ask it, then stop talking and listen.",Replies and next-day repeat saves
9,morning,Instagram carousel / TikTok slideshow,Stop asking how was school. Ask this instead.,What is something new you figured out this week?,Save this for tonight,Saves and qualified profile visits
9,afternoon,TikTok / Reels product demo,Two minutes. One real answer. No full journal.,What is something new you figured out this week?,Try tonight's question,App starts and first memories
9,evening,X / Instagram text,Tonight's question,What is something new you figured out this week?,"Ask it, then stop talking and listen.",Replies and next-day repeat saves
10,morning,Instagram carousel / TikTok slideshow,Stop asking how was school. Ask this instead.,Who made you feel listened to today?,Save this for tonight,Saves and qualified profile visits
10,afternoon,TikTok / Reels product demo,Two minutes. One real answer. No full journal.,Who made you feel listened to today?,Try tonight's question,App starts and first memories
10,evening,X / Instagram text,Tonight's question,Who made you feel listened to today?,"Ask it, then stop talking and listen.",Replies and next-day repeat saves
11,morning,Instagram carousel / TikTok slideshow,Stop asking how was school. Ask this instead.,"If someone made a documentary about your week, what would the title be?",Save this for tonight,Saves and qualified profile visits
11,afternoon,TikTok / Reels product demo,Two minutes. One real answer. No full journal.,"If someone made a documentary about your week, what would the title be?",Try tonight's question,App starts and first memories
11,evening,X / Instagram text,Tonight's question,"If someone made a documentary about your week, what would the title be?","Ask it, then stop talking and listen.",Replies and next-day repeat saves
12,morning,Instagram carousel / TikTok slideshow,Stop asking how was school. Ask this instead.,What advice from our family do you want to remember?,Save this for tonight,Saves and qualified profile visits
12,afternoon,TikTok / Reels product demo,Two minutes. One real answer. No full journal.,What advice from our family do you want to remember?,Try tonight's question,App starts and first memories
12,evening,X / Instagram text,Tonight's question,What advice from our family do you want to remember?,"Ask it, then stop talking and listen.",Replies and next-day repeat saves
13,morning,Instagram carousel / TikTok slideshow,Stop asking how was school. Ask this instead.,What changed your mind about something recently?,Save this for tonight,Saves and qualified profile visits
13,afternoon,TikTok / Reels product demo,Two minutes. One real answer. No full journal.,What changed your mind about something recently?,Try tonight's question,App starts and first memories
13,evening,X / Instagram text,Tonight's question,What changed your mind about something recently?,"Ask it, then stop talking and listen.",Replies and next-day repeat saves
14,morning,Instagram carousel / TikTok slideshow,Stop asking how was school. Ask this instead.,What would our perfect family day look like?,Save this for tonight,Saves and qualified profile visits
14,afternoon,TikTok / Reels product demo,Two minutes. One real answer. No full journal.,What would our perfect family day look like?,Try tonight's question,App starts and first memories
14,evening,X / Instagram text,Tonight's question,What would our perfect family day look like?,"Ask it, then stop talking and listen.",Replies and next-day repeat saves
